spin,rtp
10000,0.9904
20000,0.9799
30000,0.9616
40000,0.973075
50000,0.9804
60000,0.9911833333333333
70000,0.9803285714285714
80000,0.9824375
90000,0.9743444444444445
100000,0.96501
110000,0.9658909090909091
120000,0.9570833333333333
130000,0.9576615384615385
140000,0.952
150000,0.94998
160000,0.9496375
170000,0.9518882352941177
180000,0.9447722222222222
190000,0.9445631578947369
200000,0.946545
210000,0.9444047619047619
220000,0.9405227272727272
230000,0.9422217391304348
240000,0.9437833333333333
250000,0.944812
260000,0.941926923076923
270000,0.9444925925925926
280000,0.9453678571428571
290000,0.9441793103448276
300000,0.9411633333333334
310000,0.9411483870967742
320000,0.93976875
330000,0.9405818181818182
340000,0.9418882352941177
350000,0.9410114285714286
360000,0.9443888888888889
370000,0.9422324324324325
380000,0.9413789473684211
390000,0.9412717948717949
400000,0.9405325
410000,0.9392487804878049
420000,0.9394714285714286
430000,0.9391767441860465
440000,0.9409818181818181
450000,0.9394355555555556
460000,0.9393347826086956
470000,0.9412255319148937
480000,0.9419395833333334
490000,0.9407448979591837
500000,0.940274
510000,0.9414450980392157
520000,0.9423346153846154
530000,0.9420754716981132
540000,0.9405685185185185
550000,0.9411490909090909
560000,0.9414767857142857
570000,0.9430631578947368
580000,0.9432586206896552
590000,0.9428949152542373
600000,0.941555
610000,0.9408606557377049
620000,0.9408983870967742
630000,0.9405142857142857
640000,0.9398015625
650000,0.9398476923076923
660000,0.9396227272727272
670000,0.9405194029850746
680000,0.9413691176470588
690000,0.9423202898550724
700000,0.9435042857142857
710000,0.9433211267605633
720000,0.9445625
730000,0.9454821917808219
740000,0.9445891891891892
750000,0.945408
760000,0.9455
770000,0.9457545454545454
780000,0.9459410256410257
790000,0.9472556962025317
800000,0.94672625
810000,0.9464777777777778
820000,0.9472060975609756
830000,0.9460337349397591
840000,0.9446833333333333
850000,0.9443094117647058
860000,0.9440767441860465
870000,0.9441655172413793
880000,0.9446295454545455
890000,0.9456044943820224
900000,0.9451222222222222
910000,0.9452153846153846
920000,0.9453445652173913
930000,0.9445870967741935
940000,0.9455212765957447
950000,0.945862105263158
960000,0.9462760416666667
970000,0.9458484536082474
980000,0.9454051020408163
990000,0.9451434343434344
1000000,0.944242
